rank,severity,paper_id,database,source_id,status,conflict_categories,conflict_summary,source_table,artifact_path
65,A,doi__10.1038_s41598-017-11832-7,DRAMP,DRAMP:DRAMP32102,source_conflict,sequence_or_modification_conflict;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"source_conflict: DRAMP links LysAB2 P3 and local text supports antimicrobial, hemolysis, and non-cytotoxic A549/HaCaT findings, but the broad anticancer category is not supported as activity in the primary paper.",linked_dramp_activity_records.jsonl,papers/doi__10.1038_s41598-017-11832-7/final/database_record_verification.json
66,A,doi__10.1038_s41598-017-11832-7,DRAMP,DRAMP:DRAMP32102,source_conflict,sequence_or_modification_conflict;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,source_conflict: row retained with database traceability but not promoted to source_verified by the bounded review.,linked_experiment_records.jsonl,papers/doi__10.1038_s41598-017-11832-7/final/database_record_verification.json
67,A,doi__10.1038_s41598-017-11832-7,dbAMP,dbAMP:dbAMP_16810,source_conflict,sequence_or_modification_conflict;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"source_conflict: antibacterial MIC/MBC values match Table 2, but database category text includes mammalian/anticancer wording not supported as positive primary activity; retained as caution.",linked_experiment_records.jsonl,papers/doi__10.1038_s41598-017-11832-7/final/database_record_verification.json
68,A,doi__10.1038_s41598-018-20912-1,DBAASP,DBAASP:DBAASPR_11074,source_conflict,activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only;missing_material_or_supplement_gap,"Activity/source citation verified from primary material; exact full-length Histone H5 database sequence identity remains source_conflict rather than source_verified. The database spells the VRE target as Enterococcus faecalis ATCC 51299, while the primary article locally states vancomycin-resistant Enterococcus ATCC 51299 without the species epithet.",linked_assay_records.jsonl,papers/doi__10.1038_s41598-018-20912-1/final/database_record_verification.json
69,A,doi__10.1038_s41598-018-27417-x,dbAMP,dbAMP:dbAMP_27346,source_conflict,sequence_or_modification_conflict;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"source_conflict: dbAMP row combines D-Ctl/L-Ctl names, multiple PMIDs, and many organism MIC annotations. The current paper supports only the C. albicans ATCC 10231 L-Ctl 7.9 µg/mL and D-Ctl 5.5 µg/mL results, so the broader database row is preserved as a conflict instead of fully source_verified.",data/dbamp3_detail_basic.csv,papers/doi__10.1038_s41598-018-27417-x/final/database_record_verification.json
70,A,doi__10.1038_s41598-018-32947-5,DBAASP,DBAASPR_13627,source_conflict,figure_or_non_tabulated_quantification;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,source_conflict: Candida strain code differs between primary source (NCYC 1467) and DBAASP database row (NCPF 1467); retain database row with conflict instead of silently normalizing.,linked_assay_records.jsonl,papers/doi__10.1038_s41598-018-32947-5/final/database_record_verification.json
71,A,doi__10.1038_s41598-018-32947-5,DBAASP,DBAASPR_13627,source_conflict,figure_or_non_tabulated_quantification;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"source_conflict: primary source uses NCYC 1467, while linked DBAASP database row uses NCPF 1467.",linked_experiment_records.jsonl,papers/doi__10.1038_s41598-018-32947-5/final/database_record_verification.json
72,A,doi__10.1038_s41598-018-32947-5,DRAMP,DRAMP32132,source_conflict,figure_or_non_tabulated_quantification;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,source_conflict: row mixes source-supported anticancer IC50 facts with incomplete/broad database annotation; retain as conflict rather than treating as a primary assay row.,linked_experiment_records.jsonl,papers/doi__10.1038_s41598-018-32947-5/final/database_record_verification.json
73,A,doi__10.1038_s41598-018-32981-3,DBAASP,DBAASPS_11819,source_conflict,sequence_or_modification_conflict;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only;missing_material_or_supplement_gap,"DBAASP records a 20-30% HepG2 killing range at 50 uM, while the primary results text supports a 20% cell-viability reduction at 50 uM. The broader database range is preserved as a caution.",linked_assay_records.jsonl,papers/doi__10.1038_s41598-018-32981-3/final/database_record_verification.json
74,A,doi__10.1038_s41598-018-34684-1,CAMP,CAMPSQ23329,source_conflict,sequence_or_modification_conflict;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,CAMP row mixes current-paper sC18 HaCaT cytotoxicity with organisms and MIC50 values from other literature; current paper does not support the full target list.,linked_experiment_records.jsonl,papers/doi__10.1038_s41598-018-34684-1/final/database_record_verification.json
75,A,doi__10.1038_s41598-018-38442-1,dbAMP,dbAMP:dbAMP_18087,source_conflict,activity_value_or_unit_conflict;organism_or_subject_conflict,source_conflict: dbAMP anti-Gram label is broader than the primary source; primary source supports the M. smegmatis MIC/MBC values and no-effect findings against the four Gram-positive/negative test species.,linked_experiment_records.jsonl,papers/doi__10.1038_s41598-018-38442-1/final/database_record_verification.json
76,A,doi__10.1038_s41598-018-38442-1,dbAMP,dbAMP:dbAMP_18088,source_conflict,activity_value_or_unit_conflict;organism_or_subject_conflict,source_conflict: dbAMP anti-Gram label is broader than the primary source; primary source supports the M. smegmatis MIC/MBC values and no-effect findings against the four Gram-positive/negative test species.,linked_experiment_records.jsonl,papers/doi__10.1038_s41598-018-38442-1/final/database_record_verification.json
77,A,doi__10.1038_s41598-019-41005-7,DBAASP,DBAASP:DBAASPR_3733,source_conflict,sequence_or_modification_conflict;activity_value_or_unit_conflict;organism_or_subject_conflict,Database uses a Typhimurium ATCC label while the primary article/table labels the organism as S. typhi; activity value is source-located but taxonomy/name conflict is preserved.,linked_assay_records.jsonl,papers/doi__10.1038_s41598-019-41005-7/final/database_record_verification.json
78,A,doi__10.1038_s41598-019-41005-7,DBAASP,DBAASP:DBAASPS_17349,source_conflict,sequence_or_modification_conflict;activity_value_or_unit_conflict;organism_or_subject_conflict,Database uses a Typhimurium ATCC label while the primary article/table labels the organism as S. typhi; activity value is source-located but taxonomy/name conflict is preserved.,linked_assay_records.jsonl,papers/doi__10.1038_s41598-019-41005-7/final/database_record_verification.json
79,A,doi__10.1038_s41598-019-41005-7,DBAASP,DBAASP:DBAASPS_17350,source_conflict,sequence_or_modification_conflict;activity_value_or_unit_conflict;organism_or_subject_conflict,Database uses a Typhimurium ATCC label while the primary article/table labels the organism as S. typhi; activity value is source-located but taxonomy/name conflict is preserved.,linked_assay_records.jsonl,papers/doi__10.1038_s41598-019-41005-7/final/database_record_verification.json
80,A,doi__10.1038_s41598-019-42440-2,dbAMP,dbAMP:dbAMP_24834,source_conflict,activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"source_conflict: dbAMP_24834 activity text includes multi-paper organism/value annotations; for this paper its P. aeruginosa 6294 MIC=250 µg/ml annotation conflicts with primary Table 1, where 250 µg/ml is the Mel4 MBC while the Mel4 MIC is 62.5 µg/ml.",linked_experiment_records.jsonl,papers/doi__10.1038_s41598-019-42440-2/final/database_record_verification.json
81,A,doi__10.1038_s41598-019-50061-y,DBAASP,DBAASP:DBAASPS_14134,source_conflict,activity_value_or_unit_conflict;organism_or_subject_conflict,"Database labels the yeast/fungal cidal endpoint as MFC, while the primary Table 1 column label is MBC; value is source-supported but endpoint vocabulary differs.",linked_assay_records.jsonl,papers/doi__10.1038_s41598-019-50061-y/final/database_record_verification.json
82,A,doi__10.1038_s41598-020-70314-5,APD6,APD6:AP03946,source_conflict,activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only;missing_material_or_supplement_gap,Primary source reports porcine erythrocyte hemolysis and Botrytis cinerea antifungal assays; APD6 free-text comments use human RBC language and include a candidacidal annotation not supported by the opened primary XML/PDF/supplement sources.,peptides.csv / linked_experiment_records.jsonl,papers/doi__10.1038_s41598-020-70314-5/final/database_record_verification.json
83,A,doi__10.1038_s41598-020-70314-5,APD6,APD6:AP03947,source_conflict,activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only;missing_material_or_supplement_gap,Primary source reports porcine erythrocyte hemolysis and Botrytis cinerea antifungal assays; APD6 free-text comments use human RBC language and include a candidacidal annotation not supported by the opened primary XML/PDF/supplement sources.,peptides.csv / linked_experiment_records.jsonl,papers/doi__10.1038_s41598-020-70314-5/final/database_record_verification.json
84,A,doi__10.1038_s41598-021-91765-4,DBAASP,DBAASPS_18236,source_conflict,sequence_or_modification_conflict;figure_or_non_tabulated_quantification;activity_value_or_unit_conflict;organism_or_subject_conflict,Database normalizes the subject as Enterococcus faecalis while the primary Table 1 row labels it Streptococcus Faecalis; the MIC value and unit match.,linked_assay_records.jsonl,papers/doi__10.1038_s41598-021-91765-4/final/database_record_verification.json
85,A,doi__10.1038_s41598-022-16303-2,DBAASP,DBAASP:DBAASPS_18513:assay:19033,source_conflict,figure_or_non_tabulated_quantification;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"Source conflict: DBAASP labels the hemolysis subject as Human erythrocytes, while the primary table caption and Methods state murine RBCs/erythrocytes; HC50 value and unit match Table 2.",linked_assay_records.jsonl,papers/doi__10.1038_s41598-022-16303-2/final/database_record_verification.json
86,A,doi__10.1038_s41598-022-16303-2,DBAASP,DBAASP:DBAASPS_18513:experiment:19033,source_conflict,activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"Source conflict: DBAASP labels the hemolysis subject as Human erythrocytes, while the primary table caption and Methods state murine RBCs/erythrocytes; HC50 value and unit match Table 2.",linked_experiment_records.jsonl / assay_refs.csv,papers/doi__10.1038_s41598-022-16303-2/final/database_record_verification.json
87,A,doi__10.1038_s41598-022-16303-2,DBAASP,DBAASP:DBAASPS_20120:assay:19029,source_conflict,figure_or_non_tabulated_quantification;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"Source conflict: DBAASP labels the hemolysis subject as Human erythrocytes, while the primary table caption and Methods state murine RBCs/erythrocytes; HC50 value and unit match Table 2.",linked_assay_records.jsonl,papers/doi__10.1038_s41598-022-16303-2/final/database_record_verification.json
88,A,doi__10.1038_s41598-022-16303-2,DBAASP,DBAASP:DBAASPS_20120:experiment:19029,source_conflict,activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"Source conflict: DBAASP labels the hemolysis subject as Human erythrocytes, while the primary table caption and Methods state murine RBCs/erythrocytes; HC50 value and unit match Table 2.",linked_experiment_records.jsonl / assay_refs.csv,papers/doi__10.1038_s41598-022-16303-2/final/database_record_verification.json
89,A,doi__10.1038_s41598-022-16303-2,DBAASP,DBAASP:DBAASPS_20121:assay:19031,source_conflict,figure_or_non_tabulated_quantification;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"Source conflict: DBAASP labels the hemolysis subject as Human erythrocytes, while the primary table caption and Methods state murine RBCs/erythrocytes; HC50 value and unit match Table 2.",linked_assay_records.jsonl,papers/doi__10.1038_s41598-022-16303-2/final/database_record_verification.json
90,A,doi__10.1038_s41598-023-43274-9,DBAASP,DBAASP:DBAASPS_21458,source_conflict,sequence_or_modification_conflict;figure_or_non_tabulated_quantification;activity_value_or_unit_conflict;organism_or_subject_conflict,source conflict preserved: Database value 25 µg/ml vs source value 15 ug/mL for IL15.5 S. epidermidis MBC.,linked_assay_records.jsonl,papers/doi__10.1038_s41598-023-43274-9/final/database_record_verification.json
91,A,doi__10.1038_s42003-021-01736-8,DBAASP,DBAASP:DBAASPS_19258,source_conflict,sequence_or_modification_conflict;organism_or_subject_conflict;citation_or_linkage_only,"Source conflict: DBAASP reports a Vero-E6 cytotoxicity upper bound of 5 µM, while the primary source reports MTT and Annexin-V/PI toxicity testing at 0.1, 1, and 10 µM without an exact 5 µM row.",linked_assay_records.jsonl,papers/doi__10.1038_s42003-021-01736-8/final/database_record_verification.json
92,A,doi__10.1038_s42003-021-01736-8,DBAASP,DBAASP:DBAASPS_19259,source_conflict,sequence_or_modification_conflict;organism_or_subject_conflict;citation_or_linkage_only,"Source conflict: DBAASP reports a Vero-E6 cytotoxicity upper bound of 5 µM, while the primary source reports MTT and Annexin-V/PI toxicity testing at 0.1, 1, and 10 µM without an exact 5 µM row.",linked_assay_records.jsonl,papers/doi__10.1038_s42003-021-01736-8/final/database_record_verification.json
93,A,doi__10.1038_s42003-021-01736-8,DBAASP,DBAASP:DBAASPS_19260,source_conflict,sequence_or_modification_conflict;organism_or_subject_conflict;citation_or_linkage_only,"Source conflict: DBAASP reports a Vero-E6 cytotoxicity upper bound of 5 µM, while the primary source reports MTT and Annexin-V/PI toxicity testing at 0.1, 1, and 10 µM without an exact 5 µM row.",linked_assay_records.jsonl,papers/doi__10.1038_s42003-021-01736-8/final/database_record_verification.json
94,A,doi__10.1038_srep11082,DBAASP,DBAASPR_8609,source_conflict,sequence_or_modification_conflict;figure_or_non_tabulated_quantification;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only;missing_material_or_supplement_gap,Linked database gives S. aureus ATCC25923 while the primary table row says ATCC27853; strain conflict is preserved.,linked_assay_records.jsonl,papers/doi__10.1038_srep11082/final/database_record_verification.json
95,A,doi__10.1038_srep13412,DBAASP,DBAASP:DBAASPR_8130:assay_id=7183,source_conflict,figure_or_non_tabulated_quantification;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,conflict: rounded DBAASP 2% value differs from primary text 1.7 +/- 0.04%; final activity row retains the primary text value and keeps the DBAASP value as a nonblocking caution.,linked_assay_records.jsonl,papers/doi__10.1038_srep13412/final/database_record_verification.json
96,A,doi__10.1038_srep13412,DBAASP,DBAASP:DBAASPR_8130:experiment_row=7183,source_conflict,activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,conflict: database rounded 2% value differs from primary text 1.7 +/- 0.04%; final row keeps source text and traces database row separately.,linked_experiment_records.jsonl,papers/doi__10.1038_srep13412/final/database_record_verification.json
97,A,doi__10.1038_srep14569,CAMP,CAMP:CAMPSQ8859,sequence_modified_not_normalized,sequence_or_modification_conflict;figure_or_non_tabulated_quantification;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"CAMP target/activity summary aligns with Table 1, but the database sequence is residue-only while the primary source supports native N-formylation of the N-terminal methionine.",camp_r4_export/data/sequences.csv,papers/doi__10.1038_srep14569/final/database_record_verification.json
98,A,doi__10.1038_srep14569,dbAMP,dbAMP:dbAMP_06221,sequence_modified_not_normalized,sequence_or_modification_conflict;figure_or_non_tabulated_quantification;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"dbAMP target/activity summary aligns with Table 1, but the database sequence is residue-only while the primary source supports native N-formylation of the N-terminal methionine.",data/dbamp3_detail_basic.csv,papers/doi__10.1038_srep14569/final/database_record_verification.json
99,A,doi__10.1038_srep22008,DRAMP,DRAMP:DRAMP29176,source_conflict,sequence_or_modification_conflict;figure_or_non_tabulated_quantification;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"Source conflict: DRAMP29176 sequence and 2016 P9 activity/toxicity statements are partly supported by this primary paper, but the row merges external 2020/SARS-CoV-2/HRV/HPIV3 values and duplicates the same record across DRAMP exports; external-reference values are not promoted to source_verified for this paper.",Anti-SARS-CoV-2_amps.txt,papers/doi__10.1038_srep22008/final/database_record_verification.json
100,A,doi__10.1038_srep35019,APD6,APD6:AP02744,source_conflict,sequence_or_modification_conflict;activity_value_or_unit_conflict;organism_or_subject_conflict,source_conflict: APD6 row includes a primary-supported C. neoformans MIC but also database-only later DFTD/toxicity text not supported by this 2016 paper.,peptides.csv,papers/doi__10.1038_srep35019/final/database_record_verification.json
